Material Type,Closing Cost,Closing Weight,Closing Cost/um,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Commodity,Commodity Type,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current),Start Date,End Date
ALUMINUM MLC,0.0000,0,0,0.0000,0,0,0,ALUMLC,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
ALUMINUM MOLDS,-0.1074,0,0,-0.1074,0,0,0,ALMOLDS,0,0,0,ALUMINUM,NON_FERROUS,-0.1074,0,0,0,0,0,0,0,0,0,-0.1074,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
ALUMINUM OLD SHEET,703.8500,2027.0,0.34723729649728663049,703.8500,2027.0,0,0,ALSHEET,2027.0,2027.0,0E-20,ALUMINUM,NON_FERROUS,703.8500,2027.0,0,0,0,0,0,0,0,0,703.8500,2027.0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.34723729649728663049,0.4166847557967439565880,,0,0,2025-12-31,2025-12-31
Aluminum Painted MLC,0.0000,0,0,0.0000,0,0,0,PMLC,0,0,0,ALUMINUM,NON_FERROUS,0.0000,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0,0.00,,0,0,2025-12-31,2025-12-31
ALUMINUM PAINTED SIDING,2789.6913,5012,0.55660241420590582602,2789.6913,5012,0,0,ALPAINT,5012,5012,0E-20,ALUMINUM,NON_FERROUS,2789.6913,5012,0,0,0,0,0,0,0,0,2789.6913,5012,0,0,0,0,0.0000,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.55660241420590582602,0.6679228970470869912240,,0,0,2025-12-31,2025-12-31
ALUMINUM RADIATORS - CLEAN,658.9800,1047,0.62939828080229226361,48.4287,84,610.5513,963,AL0RADS,1047,1047,0E-20,ALUMINUM,NON_FERROUS,658.9800,1047,0,0,0,0,0,0,0,0,48.4287,84,0,0,0,0,610.5513,963,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.62939828080229226361,0.7552779369627507163320,,0,0,2025-12-31,2025-12-31
ALUMINUM RADIATORS - FE,205.5883,1372,0.14984569970845481050,205.5883,1372,0,0,AL0RDFE,1372,1372,0E-20,ALUMINUM,NON_FERROUS,205.5883,1372,0,0,0,0,0,0,0,0,205.5883,1372,0,0,0,0,0,0,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.14984569970845481050,0.1798148396501457726000,,0,0,2025-12-31,2025-12-31
ALUMINUM RIMS,735.0000,1225,0.60000000000000000000,26.4000,44,708.6000,1181,ALWHEEL,1225,1225,0E-20,ALUMINUM,NON_FERROUS,735.0000,1225,0,0,0,0,0,0,0,0,26.4000,44,0,0,0,0,708.6000,1181,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.60000000000000000000,0.7200000000000000000000,,0,0,2025-12-31,2025-12-31
ALUMINUM THERMAL EXT,214.2666,483,0.44361614906832298137,51.6000,129,162.6666,354,ALTHERMEX,483,483,0E-20,ALUMINUM,NON_FERROUS,214.2666,483,0,0,0,0,0,0,0,0,51.6000,129,0,0,0,0,162.6666,354,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.44361614906832298137,0.5323393788819875776440,,0,0,2025-12-31,2025-12-31
ALUM TRANSFORMERS,1099.0200,7838,0.14021689206430211789,538.4204,4081,560.5996,3757,ALTRANSF,7838,7838,0E-20,ALUMINUM,NON_FERROUS,1099.0200,7838,0,0,0,0,0,0,0,0,538.4204,4081,0,0,0,0,560.5996,3757,0,0,0,0,0,0,MERRILLVILLE,Merrillville Metal Recycling,,,0.14021689206430211789,0.1682602704771625414680,,0,0,2025-12-31,2025-12-31
