code,commodity,ctype,eoy2025_wt,inbound_wt,outbound_wt,calc_wt,actual_wt,diff
AL06061,ALUMINUM,NON_FERROUS,0.0,19090.0,21943.0,-2853.0,5033.0,-7886.0
380NCRUB,ALUMINUM,NON_FERROUS,4481.0,10968.0,6355.0,9094.0,1847.0,7247.0
CUMOD,COPPER TIER 3,NON_FERROUS,6630.0,7334.0,1609.0,12355.0,5326.0,7029.0
380PTDNC,ALUMINUM,NON_FERROUS,0.0,5256.0,11382.0,-6126.0,666.0,-6792.0
ALWHEEL,ALUMINUM,NON_FERROUS,9567.0,22063.0,37316.0,-5686.0,1104.0,-6790.0
409SS,STAINLESS STEEL TIER 1,NON_FERROUS,0.0,0.0,9.0,-9.0,6698.0,-6707.0
ALCURAD,ALUMINUM,NON_FERROUS,2392.0,13329.0,19907.0,-4186.0,2309.0,-6495.0
MXDAL,ALUMINUM,NON_FERROUS,1352.0,8122.0,2913.0,6561.0,220.0,6341.0
BARRELS,OTHER,Other,16332.0,0.0,0.0,16332.0,10000.0,6332.0
AL063FE,ALUMINUM,NON_FERROUS,3105.0,11842.0,5170.0,9777.0,3518.0,6259.0
TNPDCWR,COPPER TIER 1,NON_FERROUS,23.3,164.0,6138.0,-5950.7,306.0,-6256.7
AL06063,ALUMINUM,NON_FERROUS,6963.0,66700.0,65542.0,8121.0,13702.0,-5581.0
CUIN280,COPPER TIER 2,NON_FERROUS,1875.0,4376.0,453.0,5798.0,304.0,5494.0
NI300BO,STAINLESS STEEL TIER 1,NON_FERROUS,4451.0,24163.0,19469.0,9145.0,4034.0,5111.0
ALCURFE,ALUMINUM,NON_FERROUS,638.0,5397.0,0.0,6035.0,1051.0,4984.0
NI174BO,STAINLESS STEEL TIER 1,NON_FERROUS,26079.0,89551.0,116839.0,-1209.0,3760.0,-4969.0
ALUMLC,ALUMINUM,NON_FERROUS,430.0,23773.0,15632.0,8571.0,3739.0,4832.0
DALRS,ALUMINUM,NON_FERROUS,554.0,17444.0,8180.0,9818.0,5288.0,4530.0
AL05052,ALUMINUM,NON_FERROUS,1515.0,73386.0,64708.0,10193.0,14642.0,-4449.0
380ALTRN,ALUMINUM,NON_FERROUS,1951.0,2843.0,667.0,4127.0,0.0,4127.0
CUIN190,COPPER TIER 2,NON_FERROUS,183.0,4234.0,0.0,4417.0,572.0,3845.0
BRYELLO,BRASS TIER 1,NON_FERROUS,2674.0,20306.0,17767.0,5213.0,1390.0,3823.0
ALTHERMEX,ALUMINUM,NON_FERROUS,4268.0,5668.0,2126.0,7810.0,4032.0,3778.0
SEMREBR,BRASS TIER 1,NON_FERROUS,42.0,865.0,4367.0,-3460.0,0.0,-3460.0
OCAL5,ALUMINUM,NON_FERROUS,1699.0,5571.0,1312.0,5958.0,2585.0,3373.0
InsECW,ALUMINUM,NON_FERROUS,1026.0,4711.0,379.0,5358.0,2176.0,3182.0
ALTRSTK,ALUMINUM,NON_FERROUS,0.0,5000.0,8159.0,-3159.0,0.0,-3159.0
REBAR,STEEL,FERROUS,5302.0,7460.0,0.0,12762.0,9662.0,3100.0
LEFECAS,LEAD,NON_FERROUS,6519.0,2051.0,9586.0,-1016.0,2051.0,-3067.0
