Location,code,name,commodity,metal,ctype,current_wt,inbound_wt,outbound_wt,opening_wt,avg_cost,opening_value_est,flag
Merrillville,CCAL,CLEAN CAST ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,2213.0,0.0,5560.0,7773.0,0.41,3176.05,
Merrillville,DALRS,Dirty Aluminum Rims,ALUMINUM,ALUMINUM,NON_FERROUS,9.0,0.0,0.0,9.0,0.4,3.6,
Merrillville,InsECW,INSULATED EC WIRE,ALUMINUM,ALUMINUM,NON_FERROUS,131.0,0.0,0.0,131.0,0.3,39.5,
Merrillville,AL063FE,IRONY EXTRUSIONS,ALUMINUM,ALUMINUM,NON_FERROUS,1595.0,0.0,4009.0,5604.0,0.6,3349.51,
Merrillville,OLCAAL,OLD CAST AL,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,OCAL5,OLD CAST AL 5% FE,ALUMINUM,ALUMINUM,NON_FERROUS,663.0,0.0,1312.0,1975.0,0.35,691.25,
Merrillville,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,2267.0,2267.0,,,
Merrillville,ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,1119.0,0.0,1962.0,3081.0,0.2,616.2,
Merrillville,ALBRKG,ZZ DO NOT USE ALUMINUM BREAKAGE,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,1751.0,1751.0,,,
Merrillville,AL0CAST,ZZ DO NOT USE CAST ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,DPBr,Dirty Plumbers Brass,BRASS TIER 1,BRASS,NON_FERROUS,17.0,0.0,0.0,17.0,0.5,8.5,
Merrillville,EDMW,EDM WIRE ,BRASS TIER 1,BRASS,NON_FERROUS,366.0,0.0,1131.0,1497.0,2.2,3293.4,
Merrillville,IyRdBr,Irony Red Brass,BRASS TIER 1,BRASS,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,IrYwBr,Irony Yellow Brass,BRASS TIER 1,BRASS,NON_FERROUS,1080.0,0.0,0.0,1080.0,1.35,1454.87,
Merrillville,BRREDSD,RED BRASS SOLIDS,BRASS TIER 1,BRASS,NON_FERROUS,1145.0,0.0,3628.0,4773.0,2.85,13615.94,
Merrillville,BR360BO,RED BRASS TURNINGS,BRASS TIER 1,BRASS,NON_FERROUS,40.0,0.0,0.0,40.0,2.8,112.0,
Merrillville,SEMREBR,SEMI RED BRASS,BRASS TIER 1,BRASS,NON_FERROUS,0.0,0.0,2946.0,2946.0,,,
Merrillville,BRSHEL,YELLOW BRASS SHELLS,BRASS TIER 1,BRASS,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,BRYELLO,YELLOW BRASS SOLIDS,BRASS TIER 1,BRASS,NON_FERROUS,1475.0,0.0,11937.0,13412.0,2.55,34195.24,
Merrillville,BRINDBT,YELLOW BRASS TURNINGS,BRASS TIER 1,BRASS,NON_FERROUS,97.0,0.0,0.0,97.0,1.84,178.4,
Merrillville,7030BR,70/30 Brass Shells,BRASS TIER 2,BRASS,NON_FERROUS,192.0,1222.0,2104.0,1074.0,2.3,2470.2,
Merrillville,BRAUTOR,BRASS AUTO RADIATORS - CLEAN,BRASS TIER 2,BRASS,NON_FERROUS,160.0,0.0,0.0,160.0,1.29,206.5,
Merrillville,BRAUTOF,BRASS AUTO RADIATORS - FE,BRASS TIER 2,BRASS,NON_FERROUS,221.0,0.0,0.0,221.0,0.91,201.75,
Merrillville,BRNZTRN,BRONZE TURNINGS,BRASS TIER 2,BRASS,NON_FERROUS,101.0,0.0,0.0,101.0,1.3,131.3,
Merrillville,CRNIBR7030,CHROME/NICKEL PLATED BRASS SHELLS,BRASS TIER 2,BRASS,NON_FERROUS,0.0,0.0,420.0,420.0,,,
Merrillville,DRKBS,Door Knobs,BRASS TIER 2,BRASS,NON_FERROUS,19.0,0.0,675.0,694.0,0.06,42.2,
Merrillville,BRHEATR,HEATER CORES,BRASS TIER 2,BRASS,NON_FERROUS,219.0,0.0,0.0,219.0,0.08,18.18,
Merrillville,IrBrTs,Irony Brass Turnings,BRASS TIER 2,BRASS,NON_FERROUS,0.0,0.0,0.0,0.0,,,
Merrillville,BR0PHOS,PHOS BRONZE SOLIDS,BRASS TIER 2,BRASS,NON_FERROUS,148.0,0.0,0.0,148.0,2.23,330.04,
