code,name,commodity,metal,ctype,qty_lbs,unit_value,price_source,value_usd,weight_by_value_pct,weight_by_qty_pct
ALMTRNG,ZZ DO NOT USE - ALUMINUM TURNINGS,ALUMINUM,ALUMINUM,NON_FERROUS,21645.0,0.78,sale (YTD),16982.67,0.62,0.34
RMXWIR,ROMEX WIRE,COPPER TIER 2,COPPER,NON_FERROUS,4326.0,3.77,sale (recent),16315.08,0.6,0.07
CUIN245,#2 ICW 45%,COPPER TIER 2,COPPER,NON_FERROUS,7041.0,2.22,sale (recent),15631.02,0.57,0.11
UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,STEEL,FERROUS,107606.0,0.13,sale (YTD),14516.05,0.53,1.71
AL06061,6061 ALUMINUM - SPC,ALUMINUM,ALUMINUM,NON_FERROUS,10858.0,1.25,sale (recent),13542.1,0.5,0.17
AL05052,5052 ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,6302.0,2.11,sale (recent),13311.08,0.49,0.1
PRCATAL,CATALYTIC CONVERTOR,OTHER,OTHER,Other,650.0,20.0,sale (YTD),13000.0,0.48,0.01
SVPBB,SILVER PLTD BUSS BAR,COPPER TIER 1,COPPER,NON_FERROUS,2221.0,5.42,sale (recent),12037.82,0.44,0.04
AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,ALUMINUM,NON_FERROUS,6363.0,1.7,sale (recent),10817.1,0.4,0.1
UPFECHMO,UNPREPARED FE/CHROME/MOLY,STAINLESS STEEL TIER 2,STAINLESS STEEL,NON_FERROUS,61000.0,0.18,sale (recent),10980.0,0.4,0.97
TURNSTEEL,STEEL TURNING,STEEL,STEEL,FERROUS,89638.0,0.12,sale (recent),10801.38,0.4,1.43
NIMIXD,STAINLESS STEEL - FE,STAINLESS STEEL TIER 1,STAINLESS STEEL,NON_FERROUS,23632.0,0.45,sale (recent),10634.4,0.39,0.38
ALLITHO,ALUMINUM LITHO,ALUMINUM,ALUMINUM,NON_FERROUS,5994.0,1.72,sale (YTD),10300.69,0.38,0.1
CCAL,CLEAN CAST ALUMINUM,ALUMINUM,ALUMINUM,NON_FERROUS,7773.0,1.13,sale (recent),8757.06,0.32,0.12
ALTRSTK,ALUMINUM TRAILER STOCK,ALUMINUM,ALUMINUM,NON_FERROUS,8159.0,1.03,sale (YTD),8433.14,0.31,0.13
AL063FE,IRONY EXTRUSIONS,ALUMINUM,ALUMINUM,NON_FERROUS,7853.0,1.06,sale (YTD),8342.24,0.31,0.12
ROMWIRE,ZZ DO NOT USE - ROMEX,COPPER TIER 2,COPPER,NON_FERROUS,2305.0,3.63,sale (YTD),8359.77,0.31,0.04
EDMW,EDM WIRE ,BRASS TIER 1,BRASS,NON_FERROUS,2191.0,3.6,sale (recent),7890.89,0.29,0.03
ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,ALUMINUM,NON_FERROUS,5546.0,1.34,sale (recent),7411.12,0.27,0.09
