yard,code,name,commodity,metal,wt,cost,price,src,mkt
Milton,CATR,Cast Aluminum - Transmissions,ALUMINUM,ALUMINUM,1316.0,394.8,0.3,purchase,394.8
Merrillville,DALRS,Dirty Aluminum Rims,ALUMINUM,ALUMINUM,9.0,3.6,1.2661,recent sale,11.4
Milton,DALRS,Dirty Aluminum Rims,ALUMINUM,ALUMINUM,819.0,335.5141,1.2661,recent sale,1036.95
Milton,BOTTAL,FURNACE BOTTOMS - ALUMINUM,ALUMINUM,ALUMINUM,3824.0,542.2,0.1364,purchase,521.48
Merrillville,InsECW,INSULATED EC WIRE,ALUMINUM,ALUMINUM,131.0,39.492,1.2,recent sale,157.2
Milton,InsECW,INSULATED EC WIRE,ALUMINUM,ALUMINUM,1840.0,645.5,1.2,recent sale,2208.0
Merrillville,AL063FE,IRONY EXTRUSIONS,ALUMINUM,ALUMINUM,1595.0,953.2797,1.0623,YTD sale,1694.3
Milton,AL063FE,IRONY EXTRUSIONS,ALUMINUM,ALUMINUM,1691.0,417.9666,1.0623,YTD sale,1796.28
Milton,MXDAL,MIXED ALUMINUM,ALUMINUM,ALUMINUM,18.0,7.2,1.14,recent sale,20.52
Milton,MXBRAL,MIXED BRASS ALUM SPILLS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Milton,OLYFLA,OILY FLASHINGS,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Merrillville,OLCAAL,OLD CAST AL,ALUMINUM,ALUMINUM,0.0,0.0,0.25,avg cost,0.0
Milton,OLCAAL,OLD CAST AL,ALUMINUM,ALUMINUM,2.0,0.5,0.25,avg cost,0.5
Merrillville,OCAL5,OLD CAST AL 5% FE,ALUMINUM,ALUMINUM,663.0,232.05,0.75,YTD sale,497.25
Milton,OCAL5,OLD CAST AL 5% FE,ALUMINUM,ALUMINUM,2097.0,733.95,0.75,YTD sale,1572.75
Milton,PTD5052,PTD 5052 ALUMINUM,ALUMINUM,ALUMINUM,9.0,13.5,1.65,YTD sale,14.85
Milton,NWCSTAL,ZZ - DO NOT USE NEW CAST ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,0.0,,0.0
Milton,AL03003,ZZ DO NOT USE - 3003 ALUMINUM,ALUMINUM,ALUMINUM,0.0,0.0,1.84,YTD sale,0.0
Merrillville,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,ALUMINUM,0.0,0.0,0.2,avg cost,0.0
Milton,3003PTD,ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ,ALUMINUM,ALUMINUM,0.0,0.0,0.2,avg cost,0.0
Merrillville,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,ALUMINUM,0.0,0.0,1.12,YTD sale,0.0
Milton,356ALCAST,ZZ DO NOT USE - 356 ALUMINUM CASTINGS,ALUMINUM,ALUMINUM,0.0,0.0,1.12,YTD sale,0.0
Merrillville,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,ALUMINUM,0.0,0.0,1.936,YTD sale,0.0
Milton,AL0BECW,ZZ DO NOT USE - AL BARE EC WIRE,ALUMINUM,ALUMINUM,0.0,0.0,1.936,YTD sale,0.0
Milton,ALMFURN,ZZ DO NOT USE - AL FURNACE BOTTOMS,ALUMINUM,ALUMINUM,0.0,0.0,0.15,purchase,0.0
Milton,ALMDROSS,ZZ DO NOT USE - ALUMINUM DROSS,ALUMINUM,ALUMINUM,0.0,0.0,0.45,YTD sale,0.0
