Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
ALUMINUM OLD SHEET,ALSHEET,ALUMINUM,0,2032,606.2226,0,0,2032,606.2226,0.2983,NON_FERROUS
Aluminum Painted MLC,PMLC,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM PAINTED SIDING,ALPAINT,ALUMINUM,0,430,171.8040,2142,853.3015,2572,1025.1055,0.3986,NON_FERROUS
ALUMINUM RADIATORS - CLEAN,AL0RADS,ALUMINUM,0,491,103.1550,0,0,491,103.1550,0.2101,NON_FERROUS
ALUMINUM RADIATORS - FE,AL0RDFE,ALUMINUM,0,1887,276.2847,0,0,1887,276.2847,0.1464,NON_FERROUS
ALUMINUM RIMS,ALWHEEL,ALUMINUM,0,218,109.0000,0,0,218,109.0000,0.5000,NON_FERROUS
ALUMINUM SPILLS,ALSKMS,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ALUMINUM THERMAL EXT,ALTHERMEX,ALUMINUM,0,834,266.0000,505,174.6861,1339,440.6861,0.3291,NON_FERROUS
ALUM TRANSFORMERS,ALTRANSF,ALUMINUM,0,124,6.4888,3724,336.1235,3848,342.6123,0.0890,NON_FERROUS
AUTO BATTERIES,LEAUTOB,LEAD,0,1967,200.2288,12620,1904.3163,14587,2104.5451,0.1443,NON_FERROUS
AUTO BODY - COMPLETE,FE0DEAT,STEEL,0,94820,8612.4706,0,0,94820,8612.4706,0.0908,FERROUS
"AUTO BODY - CORE ",AUCORESTEEL,STEEL,0,26370,2585.2823,0,0,26370,2585.2823,0.0980,FERROUS
AUTO BODY - INCOMPLETE,FE0AUTO,STEEL,0,440,38.3000,0,0,440,38.3000,0.0870,FERROUS
AUTO CAST,FEAUCST,STEEL,0,14881,2022.2855,0,0,14881,2022.2855,0.1359,FERROUS
BALLAST,CUBALST,COPPER TIER 3,0,1935,127.9139,0,0,1935,127.9139,0.0661,NON_FERROUS
BARE BRIGHT COPPER,CUBB001,COPPER TIER 1,0,285,1071.5500,0,0,285,1071.5500,3.7598,NON_FERROUS
BARRELS,BARRELS,OTHER,0,10000,474.0000,0,0,10000,474.0000,0.0474,Other
Beryllium Copper Solids,BrCuSds,COPPER TIER 1,0,130,228.3448,0,0,130,228.3448,1.7565,NON_FERROUS
BERYLLIUM TURNINGS,BRYTRN,COPPER TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS AUTO RADIATORS - CLEAN,BRAUTOR,BRASS TIER 2,0,302,451.1303,0,0,302,451.1303,1.4938,NON_FERROUS
BRASS AUTO RADIATORS - FE,BRAUTOF,BRASS TIER 2,0,38,38.0000,0,0,38,38.0000,1.0000,NON_FERROUS
BRASS BALL MILL,BRBM,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS BREAKAGE,BRHVBRK,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS/COPPER MIX,BRCU,COPPER TIER 1,0,228,259.9030,0,0,228,259.9030,1.1399,NON_FERROUS
BRASS DROSS,BRDROSS,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS DUST,BRINDUST,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS FINES - HGGF,BRFHGGF,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS FINES - LGGF,BRFLLGGF,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS FLASHINGS,BRFLASH,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS FURNACE CUTTINGS,BRFC,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS SLAG,BRSLAG,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS SPILLS,BRSPL01,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BRASS TURNINGS,BRASTUR,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
BROKERED TIN,BRKERTIN,OTHER,0,0,0,0,0,0,0,0,Other
BRONZE TURNINGS,BRNZTRN,BRASS TIER 2,0,162,243.0000,0,0,162,243.0000,1.5000,NON_FERROUS
BUSHELING,Indbush,STEEL,0,122477,16340.4751,0,0,122477,16340.4751,0.1334,FERROUS
CARBIDE,NICARBD,STAINLESS STEEL TIER 2,0,50,400.0000,0,0,50,400.0000,8.0000,NON_FERROUS
CARDBOARD,CB2,ZWASTE,0,37077,0.0000,0,0,37077,0.0000,0.0000,WA
CAST AL,CASAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
Cast Aluminum - Transmissions,CATR,ALUMINUM,0,1495,448.5000,0,0,1495,448.5000,0.3000,NON_FERROUS
CATALYTIC CONVERTOR,PRCATAL,OTHER,0,579,4916.2840,0,0,579,4916.2840,8.4910,Other
CHROME RIMS,ALWHLCR,ALUMINUM,0,612,183.6000,547,250.7518,1159,434.3518,0.3748,NON_FERROUS
CLEAN CAST ALUMINUM,CCAL,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
CLEAN LEAD,LESTRIP,LEAD,0,237,65.2445,0,0,237,65.2445,0.2753,NON_FERROUS
CLEAN SHEET,CLSHST,STEEL,0,53898,5066.0755,0,0,53898,5066.0755,0.0940,FERROUS
CO/6 HIGH FE,CO6FE,OTHER,0,2878,2014.6000,0,0,2878,2014.6000,0.7000,Other
COMMUNICATION WIRE,COMWIRECU,COPPER TIER 2,0,2164,2574.8039,1786,2125.0461,3950,4699.8500,1.1898,NON_FERROUS
COPPER / AL TURNINGS MIX,CUALTRNMX,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
COPPER/ALUMINUM TRANSFORMERS,CUALTRAN,COPPER TIER 3,0,438,29.6100,0,0,438,29.6100,0.0676,NON_FERROUS
COPPER ARMATURES,COPARM,COPPER TIER 3,0,15,1.5000,0,0,15,1.5000,0.1000,NON_FERROUS
Copper Breakers,CuBkrs,COPPER TIER 3,0,10,0.7000,0,0,10,0.7000,0.0700,NON_FERROUS
COPPER FUSES,CUFUS,COPPER TIER 3,0,11,1.6500,0,0,11,1.6500,0.1500,NON_FERROUS
COPPER REFINERY,CUREFIN,COPPER TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
COPPER TRANSFORMERS,CU TRANS,COPPER TIER 3,0,159,19.0200,0,0,159,19.0200,0.1196,NON_FERROUS
COPPER TURNINGS,INCU T,COPPER TIER 1,0,265,774.0000,0,0,265,774.0000,2.9208,NON_FERROUS
CU BUSS BAR,CUBSBR,COPPER TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
Cu/Steel Mix,CuSt,COPPER TIER 3,0,56,28.0000,0,0,56,28.0000,0.5000,NON_FERROUS
Dirty Aluminum Rims,DALRS,ALUMINUM,0,5279,6445.1795,0,0,5279,6445.1795,1.2209,NON_FERROUS
DIRTY BRASS,DRTYBRS,BRASS TIER 1,0,547,444.0707,0,0,547,444.0707,0.8118,NON_FERROUS
DIRTY BRASS TURNINGS,DRTYBRSTRN,BRASS TIER 2,0,161,241.5000,0,0,161,241.5000,1.5000,NON_FERROUS
Dirty Plumbers Brass,DPBr,BRASS TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
Door Knobs,DRKBS,BRASS TIER 2,0,18,1.0800,0,0,18,1.0800,0.0600,NON_FERROUS
EDM CHOPS,BREDMC,BRASS TIER 2,0,613,968.5400,0,0,613,968.5400,1.5800,NON_FERROUS
"EDM WIRE ",EDMW,BRASS TIER 1,0,365,610.6622,0,0,365,610.6622,1.6730,NON_FERROUS
ELECTRICAL BRASS,ELECBR,BRASS TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
ELECTRIC MOTORS,CUMOTOR,COPPER TIER 3,0,4021,260.6714,2937,238.1850,6958,498.8564,0.0717,NON_FERROUS
ELECTRIC MOTORS - FE,CUMOD,COPPER TIER 3,0,839,25.1700,0,0,839,25.1700,0.0300,NON_FERROUS
ELECTRIC MOTORS - LARGE,CUELMOL,COPPER TIER 3,0,0,0,0,0,0,0,0,NON_FERROUS
FENCING,FENST,STEEL,0,16440,287.2667,0,0,16440,287.2667,0.0175,FERROUS
FINES - LEAD,PBFINES,LEAD,0,0,0,51358,0.0000,51358,0.0000,0.0000,NON_FERROUS
FULL A/C UNIT,ACUT,STEEL,0,1668,250.2000,0,0,1668,250.2000,0.1500,FERROUS
FURNACE BOTTOMS - ALUMINUM,BOTTAL,ALUMINUM,0,3824,542.2000,0,0,3824,542.2000,0.1418,NON_FERROUS
GRAPHITE DUST,Graphdst,LEAD,0,0,0,0,0,0,0,0,NON_FERROUS
H-13 SOLIDS,H13Solids,STAINLESS STEEL TIER 2,0,75,5.7492,1421,56.8400,1496,62.5892,0.0418,NON_FERROUS
H-13 TURNINGS,TSH13TRN,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
HEAVY MELT,INDHVYM,STEEL,0,89145,8942.2207,1392,90.6455,90537,9032.8662,0.0998,FERROUS
HEAVY MELT - UNPREPARED,UNPHMS,STEEL,0,58558,4280.1690,0,0,58558,4280.1690,0.0731,FERROUS
HELIAX OPEN-EYE,HELXOE,COPPER TIER 2,0,5,2.7500,0,0,5,2.7500,0.5500,NON_FERROUS
ICW HARNESS WIRE,ICWHARWIR,COPPER TIER 2,0,282,329.0052,0,0,282,329.0052,1.1667,NON_FERROUS
INCONEL,NIINCON,STAINLESS STEEL TIER 2,0,151,256.6500,0,0,151,256.6500,1.6997,NON_FERROUS
INCONEL TURNINGS,INCTR,STAINLESS STEEL TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
INSULATED EC WIRE,InsECW,ALUMINUM,0,320,113.5000,1725,603.7500,2045,717.2500,0.3507,NON_FERROUS
IRONY EXTRUSIONS,AL063FE,ALUMINUM,0,3,1.0500,1691,417.9666,1694,419.0166,0.2474,NON_FERROUS
Irony Yellow Brass,IrYwBr,BRASS TIER 1,0,0,0,0,0,0,0,0,NON_FERROUS
LAS,las,STEEL,0,1771,70.8400,0,0,1771,70.8400,0.0400,FERROUS
LEAD PIPE,LDPPE,LEAD,0,60,6.0000,534,48.2630,594,54.2630,0.0914,NON_FERROUS
LEAD SOLIDS,LEADSOLD,LEAD,0,0,0,0,0,0,0,0,NON_FERROUS
LITHIUM ION BATTERIES,LIOB,LEAD,0,0,0,42832,2205.3416,42832,2205.3416,0.0515,NON_FERROUS
LOW GRADE FAUCET BRASS,BRFAUC,BRASS TIER 1,0,208,128.9325,0,0,208,128.9325,0.6199,NON_FERROUS
MAGNESIUM,MA00001,OTHER,0,330,3.3000,0,0,330,3.3000,0.0100,Other
MAGNESIUM CASTINGS,MAGCST,OTHER,0,1022,172.3479,2756,162.4021,3778,334.7500,0.0886,Other
