Material Name,Material Code,Commodity Name,Hold Total,Total Wip Weight,Total Wip Cost,Total FG Weight,Total FG Cost,Total Net Weight,Total Cost,Average Cost,Commodity Type
YELLOW BRASS TURNINGS,BRINDBT,BRASS TIER 1,0,98,180.4072,0,0,98,180.4072,1.8409,NON_FERROUS
ZINC DIE CAST,ZNDICST,ZINC,0,984,497.5314,0,0,984,497.5314,0.5056,NON_FERROUS
"ZZ DO NOT USE - 3003 ALUMINUM PAINTED  ",3003PTD,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ZZ DO NOT USE - 356 ALUMINUM CASTINGS,356ALCAST,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ZZ DO NOT USE - AL BARE EC WIRE,AL0BECW,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ZZ DO NOT USE ALUMINUM BREAKAGE,ALBRKG,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ZZ DO NOT USE - ALUMINUM TURNINGS,ALMTRNG,ALUMINUM,0,0.0,0,1119,223.8447,1119.0,223.8447,0.2000,NON_FERROUS
ZZ DO NOT USE CAST ALUMINUM,AL0CAST,ALUMINUM,0,0,0,0,0,0,0,0,NON_FERROUS
ZZ DO NOT USE HELIAX,OPNEYHLXCU,COPPER TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
ZZ DO NOT USE - ROMEX,ROMWIRE,COPPER TIER 2,0,0,0,0,0,0,0,0,NON_FERROUS
ZZ DO NOT USE STEEL TURNINGS,FETURN,STEEL,0,0,0,0,0,0,0,0,FERROUS
ZZ DO NOT USE - UNPREPARED HMS (uhms),UNHMS,STEEL,0,0,0,0,0,0,0,0,FERROUS
