date,lme_al_cw
2022-05-05,32.4
2022-05-06,34.4
2022-05-09,37.58
2022-05-10,47.48
2022-05-11,46.91
2022-05-12,47.25
2022-05-13,51.78
2022-05-16,51.16
2022-05-17,56.37
2022-05-18,60.32
2022-05-19,62.05
2022-05-20,61.49
2022-05-23,60.95
2022-05-24,60.17
2022-05-25,59.69
2022-05-26,59.53
2022-05-27,59.35
2022-05-30,58.88
2022-05-31,58.27
2022-06-01,58.29
2022-06-02,58.29
2022-06-03,58.29
2022-06-06,57.97
2022-06-07,57.14
2022-06-08,56.38
2022-06-09,56.3
2022-06-10,56.36
2022-06-13,56.02
2022-06-14,56.92
2022-06-15,58.67
2022-06-16,58.21
2022-06-17,58.02
2022-06-20,58.81
2022-06-21,58.24
2022-06-22,57.89
2022-06-23,57.54
2022-06-24,57.15
2022-06-27,56.71
2022-06-28,57.63
2022-06-29,57.21
2022-06-30,57.62
2022-07-01,57.21
2022-07-04,56.79
2022-07-05,56.36
2022-07-06,55.83
2022-07-07,55.5
2022-07-08,54.94
2022-07-11,54.54
2022-07-12,54.08
2022-07-13,54.07
2022-07-14,53.6
2022-07-15,53.06
2022-07-18,52.42
2022-07-19,51.92
2022-07-20,51.26
2022-07-21,51.84
2022-07-22,52.21
2022-07-25,51.7
2022-07-26,51.07
2022-07-27,50.5
2022-07-28,50.44
2022-07-29,50.06
2022-08-01,49.55
2022-08-02,47.82
2022-08-03,47.45
2022-08-04,46.74
2022-08-05,46.46
2022-08-08,46.14
2022-08-09,45.55
2022-08-10,45.24
2022-08-11,38.41
2022-08-12,37.99
2022-08-15,37.66
2022-08-16,37.63
2022-08-17,37.37
2022-08-18,38.11
2022-08-19,37.48
2022-08-22,36.93
2022-08-23,36.5
2022-08-24,34.96
2022-08-25,34.46
2022-08-26,33.96
2022-08-29,33.96
2022-08-30,32.53
2022-08-31,31.38
2022-09-01,30.85
2022-09-02,30.77
2022-09-05,30.12
2022-09-06,26.57
2022-09-07,25.99
2022-09-08,25.53
2022-09-09,23.38
