Material Type,Commodity,Commodity Type,Closing Balance - Wip - Cost,Closing Balance - Wip - Weight,Closing Balance - Finished Goods - Cost,Closing Balance - Finished Goods - Weight,Material Code,Available To Sale,Theoretical Inventory,Inventory Variance,Start Date,End Date,Outbound Cost,Outbound Weight,Adjustments Cost,Adjustments Weight,Opening Cost,Opening Weight,Inbound Cost,Inbound Weight,Regrades Cost,Regrades Weight,Closing Cost,Closing Weight,Closing Cost/um,Opening Balance - Wip - Cost,Opening Balance - Wip - Weight,Inbound - Wip - Cost,Inbound - Wip - Weight,Outbound - Wip - Cost,Outbound - Wip - Weight,Opening Balance - Finished Goods - Cost,Opening Balance - Finished Goods - Weight,Inbound - Finished Goods - Cost,Inbound - Finished Goods - Weight,Outbound - Finished Goods - Cost,Outbound - Finished Goods - Weight,Voided - Finished Goods - Cost,Voided - Finished Goods - Weight,Yard Name,Yard Address Name,Gl Income Code,Gl Expense Code,"Opening
  Cost/um","Closing Cost/um (+
  Freight)",Adjustment Notes,Hold Total Weight (Current),Hold Total Cost (Current)
"#1 ICW 80%",COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,ICW80,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#1 ICW 85%",COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,CUIN185,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#1 ICW 88%",COPPER TIER 2,NON_FERROUS,1278.2814,515,5869.7282,3133,CUIN188,3648,3648,0E-20,2025-12-31,2025-12-31,0,0,0,0,7148.0096,3648,0,0,0,0,7148.0096,3648,1.9594324561403509,1278.2814,515,0,0,0,0,5869.7282,3133,0,0,0,0,0,0,MILTON,Benton Metals,,,1.9594324561403509,2.351318947368421080,,0,0
"#1 ICW 90%",COPPER TIER 2,NON_FERROUS,0.0000,0,0,0,CUIN190,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
2000 SERIES ALUMINUM,ALUMINUM,NON_FERROUS,65.8000,329,0,0,AL02024,329,329,0E-20,2025-12-31,2025-12-31,0,0,0,0,65.8000,329,0,0,0,0,65.8000,329,0.20000000000000000000,65.8000,329,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.20000000000000000000,0.2400000000000000000000,,0,0
201 STAINLESS CLIP,STAINLESS STEEL TIER 2,NON_FERROUS,172.0000,3440,0,0,201,3440,3440,0E-20,2025-12-31,2025-12-31,0,0,0,0,172.0000,3440,0,0,0,0,172.0000,3440,0.05000000000000000000,172.0000,3440,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.05000000000000000000,0.0600000000000000000000,,0,0
201 STAINLESS COIL,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,201SSCOIL,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
2205 SOLIDS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,2205 Solids,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
2205 STAINLESS STEEL TURNINGS,STAINLESS STEEL TIER 2,NON_FERROUS,0.0000,0,0,0,2205 STAINLESS,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
230 BRASS SOLIDS,BRASS TIER 2,NON_FERROUS,0.0000,0,0,0,BR00230,0,0,0,2025-12-31,2025-12-31,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0,0.00,,0,0
"#2 COPPER",COPPER TIER 1,NON_FERROUS,1402.0712,469,0,0,CU00002,469,469,0E-20,2025-12-31,2025-12-31,0,0,0,0,1402.0712,469,0,0,0,0,1402.0712,469,2.9894908315565032,1402.0712,469,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,2.9894908315565032,3.587388997867803840,,0,0
"#2 ICW 20% - CHRISTMAS LIGHTS",COPPER TIER 2,NON_FERROUS,19.7800,101,0,0,CUIN220,101,101,0E-20,2025-12-31,2025-12-31,0,0,0,0,19.7800,101,0,0,0,0,19.7800,101,0.19584158415841584158,19.7800,101,0,0,0,0,0.0000,0,0,0,0,0,0,0,MILTON,Benton Metals,,,0.19584158415841584158,0.2350099009900990098960,,0,0
