Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost
Merrillville,AL06061,6061 ALUMINUM - SPC,ALUMINUM,NON_FERROUS,973,1643,2616,642.1989,1084.4980,1726.6969,0.6601
Milton,AL06061,6061 ALUMINUM - SPC,ALUMINUM,NON_FERROUS,1359,0,1359,992.0700,0,992.0700,0.7300
Merrillville,ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,NON_FERROUS,752,0,752,646.3665,0,646.3665,0.8595
Milton,ALEXTRU,6061 ALUMINUM EXTRUSIONS,ALUMINUM,NON_FERROUS,718,0,718,502.6000,0,502.6000,0.7000
Merrillville,6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,6061PTDSPCAL,6061 PAINTED SPC,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,TRWLS,6061 TRUCK WHEELS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,AL6061TURNS,6061 TURNINGS,ALUMINUM,NON_FERROUS,835,165,1000,417.5000,82.5000,500.0000,0.5000
Milton,AL6061TURNS,6061 TURNINGS,ALUMINUM,NON_FERROUS,20455,0,20455,7042.0390,0,7042.0390,0.3443
Merrillville,6063ALS,6063 AL SOLIDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,6063ALS,6063 AL SOLIDS,ALUMINUM,NON_FERROUS,0,442,442,0,354.9195,354.9195,0.8030
Merrillville,AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,NON_FERROUS,47,1157,1204,48.2234,1122.3394,1170.5628,0.9722
Milton,AL06063,6063 BARE ALUMINUM EXTRUSION,ALUMINUM,NON_FERROUS,4404,8899,13303,4233.5763,11362.3321,15595.9084,1.1724
Merrillville,AL06310,6063 PAINTED EXTRUSION,ALUMINUM,NON_FERROUS,7,1672,1679,5.2500,1188.5493,1193.7993,0.7110
Milton,AL06310,6063 PAINTED EXTRUSION,ALUMINUM,NON_FERROUS,208,700,908,104.0000,514.3472,618.3472,0.6810
Merrillville,6063PIAL,6063 PIPE,ALUMINUM,NON_FERROUS,249,0,249,249.0000,0,249.0000,1.0000
Milton,6063PIAL,6063 PIPE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,6105 turnings,6105 TURNINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,AL07000,7000 SERIES ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,AL07075,7075 ALUMINUM,ALUMINUM,NON_FERROUS,0,1346,1346,0,781.8168,781.8168,0.5808
Merrillville,ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,NON_FERROUS,43,1077,1120,21.5000,549.5976,571.0976,0.5099
Milton,ALCURAEND,ACR AL/CU RADIATOR ENDS,ALUMINUM,NON_FERROUS,268,0,268,53.8041,0,53.8041,0.2008
Merrillville,AL0ACSR,ACSR WIRE,ALUMINUM,NON_FERROUS,156,0,156,81.3696,0,81.3696,0.5216
Milton,AL0ACSR,ACSR WIRE,ALUMINUM,NON_FERROUS,866,474,1340,216.5000,98.2371,314.7371,0.2349
Milton,5086,AL 5086,ALUMINUM,NON_FERROUS,150,0,150,127.5000,0,127.5000,0.8500
Milton,CASTAL356,AL CAST - 356,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALDUST,AL DUST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALDUST,AL DUST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALTANKS,AL TANKS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALCURAD,AL/CU RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,1770,2116,3886,3450.3018,4229.2982,7679.6000,1.9762
Milton,ALCURAD,AL/CU RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,1464,0,1464,2049.1562,0,2049.1562,1.3997
Merrillville,ALCURFE,AL/CU RADIATORS - FE,ALUMINUM,NON_FERROUS,1508,0,1508,1729.7034,0,1729.7034,1.1470
Milton,ALCURFE,AL/CU RADIATORS - FE,ALUMINUM,NON_FERROUS,427,135,562,463.9768,127.7933,591.7701,1.0530
Merrillville,ALUARM,ALUM ARMATURE,ALUMINUM,NON_FERROUS,32,0,32,3.1016,0,3.1016,0.0969
Milton,ALUARM,ALUM ARMATURE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALUMBRECWR,ALUM BARE EC WIRE,ALUMINUM,NON_FERROUS,441,0,441,220.0590,0,220.0590,0.4990
Milton,ALUMBRECWR,ALUM BARE EC WIRE,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALUMDROSS,ALUM DROSS,ALUMINUM,NON_FERROUS,29465,0,29465,5517.7957,0,5517.7957,0.1873
Merrillville,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,NON_FERROUS,155,0,155,13.9500,0,13.9500,0.0900
Milton,ALTRANSF,ALUM TRANSFORMERS,ALUMINUM,NON_FERROUS,124,3724,3848,6.4888,336.1235,342.6123,0.0890
Merrillville,ALUTURN,ALUMINIUM TURNS,ALUMINUM,NON_FERROUS,1226,681,1907,265.5419,141.8081,407.3500,0.2136
Milton,ALUTURN,ALUMINIUM TURNS,ALUMINUM,NON_FERROUS,9703,3252,12955,2436.5084,802.5730,3239.0814,0.2500
Merrillville,ALUBREAK,ALUMINUM BREAK,ALUMINUM,NON_FERROUS,22904,1219,24123,2314.7469,129.5958,2444.3427,0.1013
Milton,ALUBREAK,ALUMINUM BREAK,ALUMINUM,NON_FERROUS,14009,0,14009,1223.0676,0,1223.0676,0.0873
Merrillville, ALBZTS1,ALUMINUM BRONZE TURNINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,AL00UBC,ALUMINUM CANS,ALUMINUM,NON_FERROUS,1141,853,1994,456.3995,341.1994,797.5989,0.4000
Milton,AL00UBC,ALUMINUM CANS,ALUMINUM,NON_FERROUS,592,0,592,118.4000,0,118.4000,0.2000
Merrillville,ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,NON_FERROUS,3,0,3,1.2000,0,1.2000,0.4000
Milton,ALDCAST,ALUMINUM DIE-CAST,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALFOIL,ALUMINUM FOIL,ALUMINUM,NON_FERROUS,2,0,2,0.1200,0,0.1200,0.0600
Milton,ALFOIL,ALUMINUM FOIL,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALLITHO,ALUMINUM LITHO,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Merrillville,ALUMLC,ALUMINUM MLC,ALUMINUM,NON_FERROUS,417,0,417,166.8000,0,166.8000,0.4000
Milton,ALUMLC,ALUMINUM MLC,ALUMINUM,NON_FERROUS,2105,1217,3322,1523.5197,830.8136,2354.3333,0.7087
Merrillville,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALMOLDS,ALUMINUM MOLDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,
Milton,ALMOTOR,ALUMINUM MOTOR BLOCKS WHOLE,ALUMINUM,NON_FERROUS,6353,0,6353,821.0748,0,821.0748,0.1292
Merrillville,ALNCST,ALUMINUM NEW CAST,ALUMINUM,NON_FERROUS,38,0,38,15.2000,0,15.2000,0.4000
Milton,ALNCST,ALUMINUM NEW CAST,ALUMINUM,NON_FERROUS,184,0,184,55.2000,0,55.2000,0.3000
Merrillville,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,NON_FERROUS,2687.0,0,2687.0,1220.1436,0,1220.1436,0.4541
Milton,ALSHEET,ALUMINUM OLD SHEET,ALUMINUM,NON_FERROUS,1881,0,1881,560.9226,0,560.9226,0.2982
Merrillville,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,NON_FERROUS,4616,0,4616,2638.7713,0,2638.7713,0.5717
Milton,ALPAINT,ALUMINUM PAINTED SIDING,ALUMINUM,NON_FERROUS,376,2142,2518,150.2040,853.3015,1003.5055,0.3985
Merrillville,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,91,0,91,31.8500,0,31.8500,0.3500
Milton,AL0RADS,ALUMINUM RADIATORS - CLEAN,ALUMINUM,NON_FERROUS,403,0,403,81.1550,0,81.1550,0.2014
