Location,Material Code,Material Name,Commodity Name,Commodity Type,Total Wip Weight,Total FG Weight,Total Net Weight,Total Wip Cost,Total FG Cost,Total Cost,Average Cost,Hold Total
Merrillville,REBAR,REBAR,STEEL,FERROUS,4360,0,4360,97.3200,0,97.3200,0.0223,0
Milton,REBAR,REBAR,STEEL,FERROUS,5302,0,5302,315.6265,0,315.6265,0.0595,0
Merrillville,SHIRST,SHEET IRON,STEEL,FERROUS,380723,1835,382558,31856.2378,128.3610,31984.5988,0.0836,0
Milton,SHIRST,SHEET IRON,STEEL,FERROUS,195545,0,195545,15603.2450,-9.5249,15593.7201,0.0797,0
Milton,SKST,SKELATAL ,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,STBD,STEEL BANDING (fe),STEEL,FERROUS,0,0,0,0,0,0,0,0
Merrillville,STBXCAB,STEEL BX CABLE,STEEL,FERROUS,9,0,9,0.7238,0,0.7238,0.0804,0
Milton,STBXCAB,STEEL BX CABLE,STEEL,FERROUS,0,0,0,0,0,0,0,0
Merrillville,STBXW,STEEL BX WIRE (fe),STEEL,FERROUS,228,0,228,30.2000,0,30.2000,0.1325,0
Milton,STBXW,STEEL BX WIRE (fe),STEEL,FERROUS,429,0,429,176.8103,0,176.8103,0.4121,0
Merrillville,STCBLE,STEEL CABLE,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,INDCLIPS,STEEL CLIPS,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,STLCOL,STEEL COIL,STEEL,FERROUS,0,11489,11489,0,639.5635,639.5635,0.0557,0
Milton,STMTRBLK,STEEL MOTOR BLOCKS,STEEL,FERROUS,32649,0,32649,3470.1123,0,3470.1123,0.1063,0
Merrillville,TURNSTEEL,STEEL TURNING,STEEL,FERROUS,1852,0,1852,95.0800,0,95.0800,0.0513,0
Milton,TURNSTEEL,STEEL TURNING,STEEL,FERROUS,92322,0,92322,3128.2394,0,3128.2394,0.0339,0
Milton,STWR,STEEL WIRE,STEEL,FERROUS,440,0,440,21.6071,0,21.6071,0.0491,0
Merrillville,UNPREP,UNPREPARED P&S ,STEEL,FERROUS,27438,0,27438,2530.6814,0,2530.6814,0.0922,0
Milton,UNPREP,UNPREPARED P&S ,STEEL,FERROUS,58240,0,58240,3767.5277,0,3767.5277,0.0647,0
Merrillville,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,UNHMS,ZZ DO NOT USE - UNPREPARED HMS (uhms),STEEL,FERROUS,0,0,0,0,0,0,0,0
Merrillville,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,FETURN,ZZ DO NOT USE STEEL TURNINGS,STEEL,FERROUS,0,0,0,0,0,0,0,0
Milton,1010ALEXT,1010 BARE EXTRUSION,ALUMINUM,NON_FERROUS,198,0,198,128.7000,0,128.7000,0.6500,0
Merrillville,Al01100,1100 SERIES,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,Al01100,1100 SERIES,ALUMINUM,NON_FERROUS,12,0,12,0.9950,0,0.9950,0.0829,0
Milton,AL02024,2000 SERIES ALUMINUM,ALUMINUM,NON_FERROUS,329,0,329,65.8000,0,65.8000,0.2000,0
Milton,2024ALCST,2024 AL CASTINGS,ALUMINUM,NON_FERROUS,1,0,1,0.2000,0,0.2000,0.2000,0
Merrillville,PTD3003,3003 AL PAINTED,ALUMINUM,NON_FERROUS,45,0,45,9.0000,0,9.0000,0.2000,0
Milton,PTD3003,3003 AL PAINTED,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,AL3003,3003 AL SOLIDS,ALUMINUM,NON_FERROUS,783,0,783,566.7059,0,566.7059,0.7238,0
Milton,30ALP,3003 ALUMINUM WITH POLY,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,3105ALSOL,3105 AL SOLIDS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,319ALFLASHING,319 AL FLASHINGS ,ALUMINUM,NON_FERROUS,0,2113,2113,0,754.2692,754.2692,0.3570,0
Milton,319CSTAL,319 CASTINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,380ALTRN,380 ALUMINUM TURNINGS,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
Milton,380NCAL,380 BARE NEW CAST ALUMINUM,ALUMINUM,NON_FERROUS,0,0,0,0,0,0,0,0
