Date,copper
2023-09-08,8114.103977279663
2023-09-11,8311.41735795021
2023-09-12,8271.734446043967
2023-09-13,8280.552812509537
2023-09-14,8338.975213074684
2023-09-15,8297.087315335273
2023-09-18,8248.585511341094
2023-09-19,8187.958650565147
2023-09-20,8259.60886363983
2023-09-21,8083.239431838989
2023-09-22,8081.03444600582
2023-09-25,8045.760454521179
2023-09-26,7991.7474999999995
2023-09-27,7996.156946043968
2023-09-28,8144.968522720336
2023-09-29,8214.41427558422
2023-10-02,8007.179772720337
2023-10-03,7970.803551130294
2023-10-04,7901.358323888779
2023-10-05,7819.786988620757
2023-10-06,7990.6452698946
2023-10-09,8030.328181800842
2023-10-10,8007.179772720337
2023-10-11,7967.496860814094
2023-10-12,7923.404502863884
2023-10-13,7892.539431800842
2023-10-16,7907.971704521179
2023-10-17,7882.618835229873
2023-10-18,7896.94887784481
2023-10-19,7917.892826714516
2023-10-20,7808.764161944389
2023-10-23,7877.107159080505
2023-10-24,7958.677968726158
2023-10-25,7874.902698869705
2023-10-26,7867.186562509536
2023-10-27,8011.589218764305
2023-10-30,8045.760454521179
2023-10-31,8028.123721590042
2023-11-01,8035.83985795021
2023-11-02,8084.341661944389
2023-11-03,8100.876164770126
2023-11-06,8178.038053994178
2023-11-07,8090.955568199157
2023-11-08,7998.361406254768
2023-11-09,8013.793678975105
2023-11-10,7900.25556816101
2023-11-13,8074.420539751052
2023-11-14,8118.512897701263
2023-11-15,8195.674786925316
2023-11-16,8167.0147016954415
2023-11-17,8239.767144875526
2023-11-20,8405.11375
2023-11-21,8409.523196043967
2023-11-22,8303.701221590041
2023-11-23,8331.259076714516
2023-11-24,8369.839758515358
2023-11-27,8294.882855124473
2023-11-28,8379.760880708694
2023-11-29,8346.691349434852
2023-11-30,8441.489971590041
2023-12-01,8617.859403390885
2023-12-04,8422.750482931137
2023-12-05,8316.929034099578
2023-12-06,8193.470326714516
2023-12-07,8343.384133496284
2023-12-08,8421.648252825737
2023-12-11,8333.463536925316
2023-12-12,8346.691349434852
2023-12-13,8346.691349434852
2023-12-14,8572.664815335273
2023-12-15,8564.948678975104
2023-12-18,8483.377869329452
2023-12-19,8589.19931816101
2023-12-20,8601.324900565147
2023-12-21,8616.757173285483
2023-12-22,8588.09708805561
2023-12-26,8588.09708805561
2023-12-27,8693.919062509536
2023-12-28,8626.67829547882
2023-12-29,8555.028082404137
2024-01-02,8529.674687490462
2024-01-03,8482.275639224052
2024-01-04,8445.89941763401
2024-01-05,8365.430838093756
2024-01-08,8376.453664770126
2024-01-09,8264.018309683799
2024-01-10,8335.667997136115
2024-01-11,8325.747400565147
2024-01-12,8245.278821024895
2024-01-16,8303.701221590041
2024-01-17,8228.744318199157
2024-01-18,8256.301647701262
2024-01-19,8348.895809645652
2024-01-22,8298.189545440673
2024-01-23,8356.611946005822
2024-01-24,8559.437002825736
2024-01-25,8521.958551130294
2024-01-26,8488.88954547882
2024-01-29,8538.493053956032
2024-01-30,8612.348252863883
2024-01-31,8603.529360775947
2024-02-01,8493.298465900421
2024-02-02,8424.955468764305
2024-02-05,8315.826803994178
2024-02-06,8338.975213074684
2024-02-07,8239.767144875526
2024-02-08,8169.219161906242
2024-02-09,8126.229559683799
2024-02-12,8219.92542611122
2024-02-13,8187.958650565147
2024-02-14,8158.1963352298735
2024-02-15,8281.655042614937
2024-02-16,8461.331690354347
2024-02-20,8524.163011341094
2024-02-21,8541.8002698946
2024-02-22,8592.506534099579
2024-02-23,8558.334772720336
2024-02-26,8430.466619291305
2024-02-27,8445.89941763401
2024-02-28,8438.183281273841
2024-02-29,8453.61555399418
2024-03-01,8498.81014204979
2024-03-04,8492.196235795021
2024-03-05,8474.559502863884
2024-03-06,8532.98190342903
2024-03-07,8641.008338093758
2024-03-08,8564.948678975104
2024-03-11,8647.621718726157
2024-03-12,8653.133394875525
2024-03-13,8934.222045402526
2024-03-14,8900.051335268021
2024-03-15,9066.500170497893
2024-03-18,9070.909090919495
2024-03-19,8947.449857912063
2024-03-20,8903.357499961852
2024-03-21,8920.995284137725
2024-03-22,8809.661633534432
2024-03-25,8833.912272720336
2024-03-26,8809.661633534432
2024-03-27,8801.945497174263
2024-03-28,8826.196136360168
2024-04-01,8919.892528409957
2024-04-02,8972.803778448104
2024-04-03,9243.971306781768
2024-04-04,9361.91886363983
2024-04-05,9346.486590919494
2024-04-08,9429.159630670547
2024-04-09,9449.000823812485
2024-04-10,9440.182982969283
2024-04-11,9374.0439204216
2024-04-12,9386.170028448105
2024-04-15,9654.031392087936
2024-04-16,9491.991477279662
2024-04-17,9573.562812547683
2024-04-18,9789.6146306324
2024-04-19,9925.1989204216
2024-04-22,9921.892755727768
2024-04-23,9899.846051130295
2024-04-24,9848.037556819916
2024-04-25,10076.215482931137
2024-04-26,10072.908266992568
2024-04-29,10271.324403390883
2024-04-30,10062.9876704216
2024-05-01,10036.532045402526
2024-05-02,9907.562187490463
2024-05-03,10082.829914808273
2024-05-06,10217.311448869705
2024-05-07,10197.470255727767
2024-05-08,10057.475994272232
2024-05-09,10157.786818199158
2024-05-10,10347.384062509536
2024-05-13,10592.097017068862
2024-05-14,10920.584715862273
2024-05-15,10955.859232969284
2024-05-16,10785.00147731781
2024-05-17,11148.76369321823
2024-05-20,11216.004460248947
2024-05-21,11285.449687490463
2024-05-22,10730.987471551894
2024-05-23,10618.552642087936
2024-05-24,10534.776846609115
2024-05-28,10748.625255727768
2024-05-29,10594.301477279663
2024-05-30,10299.984488620757
2024-05-31,10163.298494348526
2024-06-03,10311.007840919494
2024-06-04,10026.611448831558
2024-06-05,10184.24244321823
2024-06-06,10341.872386360168
2024-06-07,9908.664943218231
2024-06-10,10045.350937490462
2024-06-11,9971.495738582611
2024-06-12,10100.46664773941
2024-06-13,9937.325028448104
2024-06-14,10033.225880708695
2024-06-17,9968.189573888778
2024-06-18,10057.475994272232
2024-06-20,10180.935227279662
2024-06-21,9907.562187490463
2024-06-24,9980.314630670548
2024-06-25,9658.440312509536
2024-06-26,9628.677471551895
2024-06-27,9542.697215862274
2024-06-28,9679.384261379242
2024-07-01,9758.750085191727
2024-07-02,9765.364517068863
2024-07-03,10011.17917611122
2024-07-05,10270.222698907852
2024-07-08,10189.754119367599
2024-07-09,10092.750511379241
2024-07-10,10157.786818199158
